avg_confirmed_gain,avg_deaths_gain,avg_recovered_gain,confirmed_per_population_percent,country,deaths_per_population_percent,first_confirmed,first_death,first_recovered,land_area,last_confirmed,last_deaths,last_recovered,max_confirmed_gain,max_deaths_gain,max_recovered_gain,migrants_count,population_density,population_net_change,population_total,recovered_per_population_percent,std_confirmed_gain,std_deaths_gain,std_recovered_gain,urban_population_percent
34.833333333333336,2.473684210526316,9.894736842105264,0.0037581869006199234,Afghanistan,0.00012073464410740698,33.0,60.0,54.0,652860.0,1463.0,47.0,188.0,112.0,5.0,45.0,-62920.0,60.0,886592.0,38928346.0,0.0004829385764296279,29.630173041539003,1.2187617145935723,10.098925888111431,25.0
14.833333333333334,1.4210526315789473,12.59375,0.02474114748191064,Albania,0.0009382176713645889,47.0,49.0,59.0,27400.0,712.0,27.0,403.0,34.0,4.0,29.0,-14000.0,105.0,-3120.0,2877797.0,0.014003767465182566,8.354724318594618,0.8377078165833911,6.435082148509413,63.0
62.61538461538461,9.976190476190476,51.86666666666667,0.0074251367880773834,Algeria,0.0009555074675075011,34.0,50.0,50.0,2381740.0,3256.0,419.0,1479.0,185.0,30.0,153.0,-10000.0,18.0,797990.0,43851044.0,0.0033727817289823246,48.44934846327489,8.480934414803583,44.68104074771368,73.0
19.945945945945947,1.8181818181818181,16.428571428571427,0.955154338963308,Andorra,0.05176988287064001,40.0,60.0,50.0,470.0,738.0,40.0,344.0,43.0,4.0,57.0,,164.0,123.0,77265.0,0.44522099268750404,12.099003507970641,0.906923823984585,14.53468757342733,88.0
1.7857142857142858,2.0,1.2,7.6065822129142e-05,Angola,6.085265770331359e-06,58.0,67.0,69.0,1246700.0,25.0,2.0,6.0,5.0,2.0,2.0,6413.0,26.0,1040977.0,32866272.0,1.825579731099408e-05,1.2513728724621076,,0.4472135954999579,67.0
2.6666666666666665,1.0,2.75,0.02450755138927182,Antigua and Barbuda,0.0030634439236589773,51.0,76.0,83.0,440.0,24.0,3.0,11.0,6.0,1.0,4.0,0.0,223.0,811.0,97929.0,0.011232627720082917,1.6583123951777001,0.0,1.2583057392117916,26.0
82.17391304347827,5.0,32.1875,0.008363613819292043,Argentina,0.00040933030597064234,41.0,46.0,52.0,2736690.0,3780.0,185.0,1030.0,291.0,13.0,156.0,4800.0,17.0,415097.0,45195774.0,0.002278974135944657,68.02133794228791,3.4399612400917157,32.01656577259603,93.0
36.45652173913044,1.4736842105263157,25.903225806451612,0.05659340121616756,Armenia,0.0009449106941280212,39.0,64.0,55.0,28470.0,1677.0,28.0,803.0,92.0,3.0,121.0,-4998.0,104.0,5512.0,2963243.0,0.027098688835171462,22.452623228813874,0.696692268479466,26.838225026641478,63.0
104.59375,2.5,145.6206896551724,0.02625109980892462,Australia,0.0003137269173459769,4.0,39.0,8.0,7682300.0,6694.0,80.0,4223.0,497.0,8.0,1453.0,158246.0,3.0,296686.0,25499884.0,0.01656085964940076,133.60599724563266,1.831621879558502,280.12527985491255,86.0
256.7457627118644,13.4,356.11764705882354,0.1681915456101318,Austria,0.005951324824863391,34.0,50.0,47.0,82409.0,15148.0,536.0,12103.0,1321.0,30.0,888.0,65000.0,109.0,51296.0,9006398.0,0.1343822469315702,275.871571395368,7.448283230176137,230.25542664034262,57.0
36.75,1.2352941176470589,43.24,0.015948039964190388,Azerbaijan,0.0002071174021323427,39.0,51.0,49.0,82658.0,1617.0,21.0,1080.0,105.0,3.0,122.0,1200.0,123.0,91459.0,10139177.0,0.010651752109663338,26.676463801078143,0.5622957145383871,29.94060787626063,56.0
2.888888888888889,1.375,1.7777777777777777,0.019835013375919277,Bahamas,0.0027972454760911802,54.0,70.0,62.0,10010.0,78.0,11.0,15.0,7.0,3.0,4.0,1000.0,39.0,3762.0,393244.0,0.0038144256492152456,2.1000610491736684,0.7440238091428449,1.3017082793177759,86.0
46.214285714285715,1.0,26.976744186046513,0.1520943831450274,Bahrain,0.00047015265268942014,33.0,54.0,44.0,760.0,2588.0,8.0,1160.0,301.0,1.0,242.0,47800.0,2239.0,60403.0,1701575.0,0.06817213463996591,59.53752499992659,0.0,36.651829274229776,89.0
124.95,5.0,4.708333333333333,0.003034804010407884,Bangladesh,8.500851569769983e-05,46.0,56.0,54.0,130170.0,4998.0,140.0,113.0,503.0,15.0,16.0,-369501.0,1265.0,1643222.0,164689383.0,6.861401624171487e-05,162.60900880206407,3.790827135384885,3.5810997420232296,39.0
3.0384615384615383,1.0,3.1,0.027490213136146153,Barbados,0.0020878642888212265,55.0,74.0,74.0,430.0,79.0,6.0,31.0,12.0,1.0,6.0,-79.0,668.0,350.0,287375.0,0.010787298825576337,2.690438911862066,0.0,1.8529256146249728,31.0
266.3888888888889,2.9130434782608696,65.58333333333333,0.10148875215716513,Belarus,0.0007090455051647615,37.0,69.0,47.0,202910.0,9590.0,67.0,1573.0,1485.0,5.0,453.0,8730.0,47.0,-3088.0,9449323.0,0.016646695218271192,325.1062488108665,1.083472677771923,105.09743581311942,79.0
809.375,160.86046511627907,290.19444444444446,0.39108260898564173,Belgium,0.059682700636595344,13.0,49.0,26.0,30280.0,45325.0,6917.0,10417.0,2454.0,496.0,524.0,48000.0,383.0,50295.0,11589623.0,0.08988212990189587,631.9495538698984,129.74876481572798,141.89771355138572,98.0
4.909090909090909,1.0,5.4,0.0004454269499802032,Benin,8.248647221855616e-06,54.0,75.0,69.0,112760.0,54.0,1.0,27.0,19.0,1.0,13.0,-2000.0,108.0,322049.0,12123200.0,0.0002227134749901016,5.243177385031817,,5.366563145999495,48.0
